601233,,65507
601233,603239,50
601233,603239,7
601233,603239,61
601233,,0
601233,,9377
601233,,5275
601233,,148
601233,,1
601233,,0
601233,,4
601233,600422,7452
601233,,75
601233,,25
601233,,0
601233,,1
601233,,164
601233,,112633
601233,,6417
601233,,929
601233,,68
601233,,478
601233,,306
601233,,100
601233,,928
601233,,88
601233,,38
601233,,2094
601233,,0
601233,,2837
601233,,1328
601233,,54
601233,,2
600605,,
600605,010977,97.64
600605,000159,1.19
600605,,1059.37
600605,,36.08
600605,000039,48.16
600605,009448,28.48
600605,,1.45
600605,,8.1
600605,002326,33.02
600605,870866,23.55
600605,015268,2.18
600605,,3.32
600605,,174.02
600605,,175.23
600605,,81.36
600605,300899,4.6
600985,,13.9
600985,600935,8976.64
600985,002337,249168.89
600985,600985,144770
600985,600985,2573.59
600985,600985,542.41
600985,600985,9728.5
600985,,9154.83
600985,,8516.15
600985,,963.75
600985,,40774.37
600985,,40127.68
600985,,6529.35
600985,,4.58
600985,,1135.06
600985,,456.94
600985,,55.51
600985,,9245.57
600985,600935,3705.91
600985,600935,2132.49
600985,600935,225.01
600985,600935,18178.57
600985,002337,126.15
600985,002337,22050.64
600985,,19368.35
600985,,8751.28
600985,,3735.37
600985,,23546.95
600985,,197752.04
600985,,89600
600985,,2987.32
600985,,1314.36
600985,,46173.19
600985,,81440.95
600985,,8032.07
600985,,4.48
600985,,9606.71
600985,,1273.18
600985,,246.43
600985,,19783.46
600985,600935,25.06
600985,600935,1338.66
603557,600935,10000
600125,,1826.74
600125,,605.56
600125,,1635.51
600125,,293.29
600125,013804,2168.17
600125,,16.51
600125,,2644.65
600125,,311.01
600125,,1030.13
600125,,41.24
600125,,2541.23
600125,,497.8
600125,,117.33
600125,,17.82
600125,,43132
600125,,11625.98
600125,,775.65
600125,,1211.13
600125,,2809.6
600125,,586.59
600125,013804,2132.46
600125,,33.03
600125,,988.36
600125,,3809.38
600125,,784.89
600125,,3183.27
600125,,656.82
600125,,4895.72
600125,,860.58
600125,,324.76
600125,,22.81
600125,,299.2
600125,,88265.36
600125,,22309.25
600125,,3169.24
600125,,308.64
600125,,869.92
600125,,146.65
600125,013804,939.05
600125,,8.26
600125,,45.36
600125,,476.5
600125,,121.93
600125,,1475.65
600125,,299.87
600125,,81.19
600125,,80
600125,,23416.61
600125,,6310.96
603396,,24.778761
000880,,
000880,000338,
000880,000338,33483.79
000880,000338,39076.51
000880,000338,7198.9
000880,,33927.7
000880,,494.58
000880,,0
000880,,305.1
000880,000338,0
000880,000338,4529.56
000880,000338,11.89
000880,000338,132.57
000880,000338,0
000880,000338,416.91
000880,,37413.38
000880,000338,2307.93
000880,,0
000880,,0
000880,,0
002069,,200
002069,,32.63
002069,,175.87
002069,,1.2
002069,,1.2
002069,,2.39
002069,,0.29
002069,,0.29
002069,,12.38
002069,,12.38
002069,,7.19
002069,,7.19
002069,,4.5
002069,,0.41
002069,,0.41
002069,,40.01
002069,,3.82
002069,,3.82
002069,,4.09
002069,,4.09
002069,,32.63
603133,,7000
603133,,23.32
603133,,1518.7
603133,,6.55
603133,,17.91
603133,,3.83
603133,,60.76
603133,,0.2
603133,,219.95
603133,,23.52
603133,,4000
600731,,100.685134
600731,,0
600731,,
600731,,9777.37
600731,,835.44
600731,,56.04
600731,,25.54
600731,,273.4
600731,,273.4
