code,Rgst_years,Corp_Rgst_Cap,Shareholders_Num,Per_Capita_Shareholding,Employees_Num,Bachelor_Person_Pro,Technicians_Person_Pro,Cash_Flow_Ratio,Net_Cash_Flow_to_Liability_Ratio,Net_Cash_Flow_to_Net_Profit_Ratio,Operating_Cash_Return_Flow,Net_Cash_Flow_to_Sales_Revenue_Ratio,Current_Assets_Turnover_Days,Current_Assets_Turnover_Rate,Total_Asset_Turnover_Days,Inventory_Turnover_Days,Total_Asset_Turnover_Rate,Inventory_Turnover_Rate,Accounts_Receivable_Turnover_Days,Accounts_Receivable_Turnover_Rate,Total_Asset_Growth_Rate,Net_Asset_Growth_Rate,Net_Profit_Growth_Rate,Main_Business_Revenue_Growth_Rate,Equity_ratio,Capital_fixed_ratio,Capitalization_ratio,Long_term_assets_to_long_term_funding_ratio,Liabilities_to_owner_equity_ratio,Long_term_debt_ratio,Shareholders_equity_ratio,Long_term_debt_to_working_capital_ratio,Gearing_ratio,Interest_payment_multiple,Cash_ratio,Quick_ratio,Liquidity_ratio,Total_asset_margin,Profit_margin_of_main_business,Total_net_asset_margin,Cost_and_expense_margins,Operating_margin,Cost_ratio_of_main_business,Net_profit_margin_on_sales,Return_on_equity,Return_on_equity.1,Return_on_net_assets,Return_on_assets,Three_cost_ratios,Non_main_proportion,Proportion_of_main_profit,Main_business_income,Main_business_profit,Operating_profit,Investment_income,Net_non_operating_income_and_expenditure,Total_profit,Net_profit,Net_cash_flow_from_operating_activities,Net_increase_in_cash_and_cash_equivalents,Total_assets,liquid_asset,Total_liabilities,Current_liabilities,Shareholders_equity_does_not_include_minority_interests,Return_on_equity_weighting,Operating_income,Operating_costs,Operating_profit.1,Total_profit.1,Income_tax_expense,Net_profit.1,Basic_earnings_per_share,Monetary_funds,Accounts_receivable,Stocks,Total_current_assets,Total_assets.1,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities.1,Total_owners_equity,Opening_cash_and_cash_equivalents_balances,Net_cash_flow_from_operating_activities.1,Net_cash_flows_from_investing_activities,Net_cash_flows_from_fund_raising_activities,Net_increase_in_cash_and_cash_equivalents.1,Closing_cash_and_cash_equivalents_balances,Total_current_assets.1,Total_non_current_assets,Total_assets.2,Total_current_liabilities.1,Total_non_current_liabilities.1,Total_liabilities.2,Total_owners_equity.1,Total_liabilities_and_owners_equity,y
600055,25,70306.1058,34633,2.03,861,54.01,40.77,17.63,0.15,0.7,0.01,0.1,1082.6,0.25,1472.19,151.92,0.18,1.78,82.03,3.29,81.76,89.69,-13.61,-8.5,8.9,23.73,0,0,10.3,0,90.66,0,9.34,-204.42,624.12,9.08,9.73,2.02,43.25,2.59,24.54,18.12,55.66,14.1,14.69,14.69,2.23,2.02,17.09,10.76,8.9,73266,31686,13274,1429,0,13274,10329,7273,154914,511413,401385,47756,41250,452836,2.71,73266,40782,13274,13274,2945,10329,0.16,242771,24464,26664,401385,511413,41250,6506,47756,463657,86346,7273,-55451,203092,154914,241260,401385,110028,511413,41250,6506,47756,463657,511413,0
2066,21,23100,22823,1.01,2938,13.24,7.45,4.57,0.04,1.2,0.03,0.04,216.9,1.24,311.02,99.54,0.87,2.71,71.87,3.76,0.33,7.77,16.95,6.14,246.52,98.07,10.5,87.77,251.95,3.33,28.41,0.61,71.59,412.4,12.31,0.7,1.08,2.54,16.05,2.71,3.75,3.48,83.34,3.12,48.78,48.78,8.92,2.54,8.77,-0.05,246.52,361300,57988,12578,0,-6,12573,11269,13561,9227,444514,320655,318215,296541,58407,8.26,361300,301111,12578,12573,1304,11269,0.2,36493,116157,113577,320655,444514,296541,21674,318215,126299,15904,13561,-1372,-2953,9227,25131,320655,123859,444514,296541,21674,318215,126299,444514,0
2612,16,44244.5375,78376,0.56,4785,26.62,10.16,8.2,0.05,7.34,0.03,0.07,215.31,1.25,695.88,267.75,0.39,1.01,25.24,10.7,9.6,-1.84,-83.78,0.51,60.98,133.15,0,0,91.48,0,52.22,0,47.78,120.67,19.41,0.4,0.96,0.36,56.95,0.36,0.49,0.68,42.63,0.92,5.53,5.53,0.68,0.36,53.86,182.52,60.98,266418,151722,1804,2852,-536,1269,2448,17972,-5214,688197,209652,328789,219178,292908,0.59,266418,113575,1804,1269,-1179,2448,0.04,42548,24433,121981,209652,688197,219178,109611,328789,359407,47762,17972,-2331,-19520,-5214,42548,209652,478544,688197,219178,109611,328789,359407,688197,1
2563,20,269409.016,52390,5.14,3645,64.01,26.83,-1.94,-0.02,-0.54,-0.01,-0.02,430.21,0.63,569.02,220.28,0.47,1.23,37.11,7.27,-4.36,-5.07,-73.29,-10.76,66.15,42.46,0,0,69.03,0,59.16,0,40.84,-1229,71.66,1.25,1.91,1.41,40.11,1.34,4.44,4.1,59.58,2.82,9.35,9.35,2.38,1.41,30.46,14.93,66.15,894268,358664,36622,6075,-712,35910,25199,-13577,-5341,1791188,1341271,731525,700988,1059565,2.42,894268,532806,36622,35910,10711,25199,0.1,491965,100693,467033,1341271,1791188,700988,30538,731525,1059663,497306,-13577,163056,-154868,-5341,491965,1341271,449918,1791188,700988,30538,731525,1059663,1791188,0
600328,24,113277.7625,63443,1.53,9393,14.57,7.65,23.04,0.2,0.68,0.08,0.1,77.71,3.47,327.95,33.49,0.82,8.06,5.71,47.3,1.35,23.69,55.24,54.99,69.63,131.02,4.51,125.12,76.19,2.68,56.76,-0.24,43.24,3391.8,17.16,0.54,0.7,12.46,28.56,12.65,26.4,20.35,70.35,15.37,223.7,223.7,21.95,12.46,4.9,-1.84,69.63,1413676,403723,287628,-2510,-2731,284897,217246,148034,20360,1743586,446997,753998,642378,908005,20.98,1413676,994521,287628,284897,67651,217246,1.82,110231,39809,98095,446997,1743586,642378,111620,753998,989588,27536,148034,-2406,-125319,20360,47897,446997,1296590,1743586,642378,111620,753998,989588,1743586,1
2542,0,180563.0157,79874,2.26,1972,31.85,54.51,7.75,0.06,0,0.03,0.24,1528.88,0.18,2039.27,21.82,0.13,12.37,804.53,0.34,-11.24,-15.35,-272.53,-63.48,112.34,67.35,0,0,152.57,0,39.59,0,60.41,-175.35,19.53,1.62,1.65,-2,10.02,-1.87,-14.95,-14.76,89.45,-14.1,-9.84,-9.84,-5.06,-2,21.41,5.12,112.34,125927,12613,-18586,1306,-2379,-20965,-17761,30588,-21703,887016,650497,535817,394523,347979,-5.18,125927,112644,-18586,-20965,-3204,-17761,-0.1,77031,321526,9508,650497,887016,394523,141295,535817,351199,83850,30588,-4962,-47319,-21703,62147,650497,236519,887016,394523,141295,535817,351199,887016,1
2236,21,303316.117,177704,1.71,22864,70.88,49.81,-5.29,-0.05,-0.52,-0.02,-0.04,422.27,0.64,562.85,139.37,0.48,1.94,189.82,1.42,6.47,10.62,-29.27,-1.46,69.28,44.83,3.95,43.06,72.42,2.38,58,0.07,42,-233.34,46.85,1.55,1.96,3.86,36.95,3.86,10.58,8.39,62.47,8.05,56.22,56.22,6.65,3.86,16.48,-14.91,69.28,2117187,782292,177662,-26968,413,178075,170535,-88338,-41573,4421529,3271829,1857130,1671257,2512029,6.97,2117187,1322651,177662,178075,7541,170535,0.57,730696,1511398,684464,3271829,4421529,1671257,185873,1857130,2564399,761758,-88338,-28055,60232,-41573,720185,3271829,1149699,4421529,1671257,185873,1857130,2564399,4421529,1
601933,21,907503.6993,239477,3.79,123797,4.8,0.81,20.53,0.1,0,0.09,0.08,97.37,2.77,254.24,44.93,1.06,6.01,6.17,43.79,-14.76,-24.51,0,1.53,289.99,405.33,18.66,329.69,533.78,3.62,15.78,-0.59,84.22,14.97,31.02,0.55,0.86,-1.65,19.74,-1.54,-1.38,-1.61,80.06,-1.45,-11.3,-11.3,-10.44,-1.65,20.44,-35.74,289.99,7090694,1399347,-114036,19869,15390,-98646,-102515,538296,-69709,6221808,2242733,5240116,2621592,953691,-8.73,7090694,5677032,-114036,-98646,3869,-102515,-0.1,810357,134987,810305,2242733,6221808,2621592,2618524,5240116,981692,864366,538296,-41995,-566257,-69709,794657,2242733,3979075,6221808,2621592,2618524,5240116,981692,6221808,0
300260,22,22655.9307,10146,2.23,2437,13.05,19.86,6.33,0.05,0.4,0.03,0.06,293.7,0.92,443.71,223.84,0.61,1.21,82.35,3.28,34.78,25.32,128.6,34.64,131.78,77.91,14.91,66.3,134.37,7.47,42.67,0.42,57.33,1436.67,12.86,0.62,1.37,7.64,28.49,8.42,19.71,15.98,71.18,13.83,121.53,121.53,17.91,7.64,9.5,-0.07,131.78,199043,56706,31806,0,-22,31784,27534,11123,-3429,360225,240471,206524,175620,152909,19.47,199043,141671,31806,31784,4249,27534,1.21,22578,71804,131561,240471,360225,175620,30904,206524,153702,15683,11123,-21559,6938,-3429,12254,240471,119754,360225,175620,30904,206524,153702,360225,1
601118,0,427942.7797,97554,4.39,16214,5.48,8.11,3.88,0.02,0,0.01,0.02,177.21,1.52,515.56,45.31,0.52,5.96,18.21,14.83,5.23,0.6,0,1.07,76.82,133.72,18.93,108.4,108.01,11.23,48.08,1.12,51.92,36.91,60.33,1.03,1.39,-0.68,2.53,-0.7,-1.12,-1.93,97.3,-1.34,-3.26,-3.26,-1.42,-0.68,8,-153.71,76.82,1044793,26435,-20133,11153,7802,-12332,-13968,20341,16017,2041764,729180,1060176,524768,947869,-1.39,1044793,1016541,-20133,-12332,1636,-13968,-0.03,316575,65479,190326,729180,2041764,524768,535408,1060176,981588,296860,20341,-48507,41228,16017,312877,729180,1312585,2041764,524768,535408,1060176,981588,2041764,1
