code,Rgst_years,Corp_Rgst_Cap,Shareholders_Num,Per_Capita_Shareholding,Employees_Num,Bachelor_Person_Pro,Technicians_Person_Pro,Cash_Flow_Ratio,Net_Cash_Flow_to_Liability_Ratio,Net_Cash_Flow_to_Net_Profit_Ratio,Operating_Cash_Return_Flow,Net_Cash_Flow_to_Sales_Revenue_Ratio,Current_Assets_Turnover_Days,Current_Assets_Turnover_Rate,Total_Asset_Turnover_Days,Inventory_Turnover_Days,Total_Asset_Turnover_Rate,Inventory_Turnover_Rate,Accounts_Receivable_Turnover_Days,Accounts_Receivable_Turnover_Rate,Total_Asset_Growth_Rate,Net_Asset_Growth_Rate,Net_Profit_Growth_Rate,Main_Business_Revenue_Growth_Rate,Equity_ratio,Capital_fixed_ratio,Capitalization_ratio,Long_term_assets_to_long_term_funding_ratio,Liabilities_to_owner_equity_ratio,Long_term_debt_ratio,Shareholders_equity_ratio,Long_term_debt_to_working_capital_ratio,Gearing_ratio,Interest_payment_multiple,Cash_ratio,Quick_ratio,Liquidity_ratio,Total_asset_margin,Profit_margin_of_main_business,Total_net_asset_margin,Cost_and_expense_margins,Operating_margin,Cost_ratio_of_main_business,Net_profit_margin_on_sales,Return_on_equity,Return_on_equity,Return_on_net_assets,Return_on_assets,Three_cost_ratios,Non_main_proportion,Proportion_of_main_profit,Main_business_income,Main_business_profit,Operating_profit,Investment_income,Net_non_operating_income_and_expenditure,Total_profit,Net_profit,Net_cash_flow_from_operating_activities,Net_increase_in_cash_and_cash_equivalents,Total_assets,liquid_asset,Total_liabilities,Current_liabilities,Shareholders_equity_does_not_include_minority_interests,Return_on_equity_weighting,Operating_income,Operating_costs,Operating_profit,Total_profit,Income_tax_expense,Net_profit,Basic_earnings_per_share,Monetary_funds,Accounts_receivable,Stocks,Total_current_assets,Total_assets,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities,Total_owners_equity,Opening_cash_and_cash_equivalents_balances,Net_cash_flow_from_operating_activities,Net_cash_flows_from_investing_activities,Net_cash_flows_from_fund_raising_activities,Net_increase_in_cash_and_cash_equivalents,Closing_cash_and_cash_equivalents_balances,Total_current_assets,Total_non_current_assets,Total_assets,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities,Total_owners_equity,Total_liabilities_and_owners_equity,y
600452,23.0,91460.8128,28127.0,3.25,735.0,75.78,11.97,31.66,0.31,1.22,0.11,0.28,236.76,1.14,656.3,0.28,0.41,981.44,93.3,2.89,10.95,14.33,43.15,16.72,52.0,86.93,9.3883466933868,56.19058116232465,52.48,5.2352104208416845,65.58,-0.0385270541082162,34.42,150423.0,67.49,1.26,1.26,8.83,26.16,9.33,31.96,24.26,73.85,22.67,67.93,67.93,13.46,8.83,3.01,3.23,52.0,274015.0,71685.0,66473.0,1336.0,837.0,67310.0,62127.0,75980.0,43700.0,703770.0,302559.0,242231.0,240021.0,461539.0,13.88,274015.0,202372.0,66473.0,67310.0,5183.0,62127.0,0.68,161988.0,132193.0,303.0,302559.0,703770.0,240021.0,2210.0,242231.0,461539.0,118288.0,75980.0,-28903.0,-3377.0,43700.0,161988.0,302559.0,401211.0,703770.0,240021.0,2210.0,242231.0,461539.0,703770.0,0
810,20.0,115021.6072,43722.0,2.63,7634.0,20.29,19.09,25.89,0.25,1.86,0.12,0.14,286.65,0.94,334.08,68.97,0.81,3.91,94.76,2.85,5.19,35.55,161.3,18.46,83.99,26.06,0.01,26.05,86.66,0.01,53.57,-0.0385270541082162,46.43,-937.73,82.85,1.59,1.91,6.25,17.94,6.23,9.75,8.61,81.85,7.71,60.54,60.54,11.66,6.25,6.27,-0.41,83.99,902942.0,161955.0,77718.0,-356.0,39.0,77757.0,69639.0,129854.0,73103.0,1114660.0,959060.0,517489.0,501521.0,595202.0,13.9,902942.0,739058.0,77718.0,77757.0,8117.0,69639.0,0.65,415496.0,317295.0,161890.0,959060.0,1114660.0,501521.0,15968.0,517489.0,597171.0,332526.0,129854.0,-12966.0,-46393.0,73103.0,405629.0,959060.0,155600.0,1114660.0,501521.0,15968.0,517489.0,597171.0,1114660.0,0
603132,11.0,97800.0,29516.0,3.31,1057.0,30.46,9.27,85.79,0.26,1.42,0.09,0.5,130.97,2.06,1465.0,37.6,0.18,7.18,0.23,1160.41,13.721643286573164,14.095711422845708,-5.42,-2.42,39.57,136.06,19.0,110.2,52.69,15.37,65.49,44.88,34.51,844.98,88.27,0.95,1.03,6.37,61.24,6.48,73.05,41.06,34.48,35.18,31.39,31.39,9.72,6.37,17.41,-0.08,39.57,87244.0,53432.0,35821.0,36608.162324649296,-28.0,35793.0,30696.0,43642.0,20030.0,482234.0,52524.0,166409.0,50873.0,315826.0,9.83,87244.0,30085.0,35821.0,35793.0,5097.0,30696.0,0.32,44904.0,75.0,4039.0,52524.0,482234.0,50873.0,115536.0,166409.0,315826.0,24610.0,43642.0,-7446.0,-16166.0,20030.0,44640.0,52524.0,429710.0,482234.0,50873.0,115536.0,166409.0,315826.0,482234.0,0
601778,11.0,289437.5028,142847.0,2.03,1296.0,56.87,3.94,11.89,0.05,3.45,0.03,0.43,1419.56,0.19,3534.03,59.78,0.08,4.52,567.82,0.48,18.57,5.05,-14.48,-9.25,102.14,170.53,23.03,131.26,188.51,10.37,34.66,0.65,65.34,161.5,69.82,1.59,1.63,0.86,48.96,0.95,17.51,17.48,50.02,12.46,10.79,10.79,2.49,0.86,37.38,11.93,102.14,250832.0,122804.0,43834.0,9631.0,-4999.0,38835.0,31242.0,107825.0,78376.0,3621794.0,1481083.0,2366438.0,906695.0,1244017.0,2.4,250832.0,125461.0,43834.0,38835.0,7593.0,31242.0,0.1,633002.0,566140.0,40242.0,1481083.0,3621794.0,906695.0,1459742.0,2366438.0,1255356.0,367254.0,107825.0,-219322.0,189975.0,78376.0,445630.0,1481083.0,2140711.0,3621794.0,906695.0,1459742.0,2366438.0,1255356.0,3621794.0,0
600353,28.0,59200.7971,23103.0,2.56,1426.0,19.0,12.69,-9.43,-0.09,-0.88,-0.02,-0.08,536.25,0.5,762.28,122.35,0.35,2.21,199.04,1.36,49.96,48.39,14.71,19.6,33.3,38.29,0.57,38.07,35.61,0.43,73.74,0.01,26.26,4094.97,97.38,2.48,2.97,2.59,25.52,3.07,12.08,10.15,73.99,8.67,11.81,11.81,3.51,2.59,9.59,4.25,33.3,80574.0,20559.0,8179.0,345.0,3.0,8182.0,6989.0,-6146.0,43654.0,270163.0,193894.0,70949.0,65192.0,179279.0,4.46,80574.0,59617.0,8179.0,8182.0,1193.0,6989.0,0.1,63452.0,71235.0,32004.0,193894.0,270163.0,65192.0,5757.0,70949.0,199214.0,19776.0,-6146.0,-14835.0,64595.0,43654.0,63430.0,193894.0,76270.0,270163.0,65192.0,5757.0,70949.0,199214.0,270163.0,0
605018,29.0,47150.5353,11705.0,4.0,2187.0,9.88,12.12,20.4,0.18,1.39,0.03,0.07,276.47,0.98,619.12,120.61,0.44,2.24,51.11,5.28,35.29,37.99,-41.37,22.88,16.58,64.07,9.3883466933868,56.19058116232465,19.31,5.2352104208416845,83.81,-0.0385270541082162,16.19,-1956.01,97.86,2.22,3.33,2.04,14.31,2.27,5.73,5.17,85.1,5.21,14.2,14.2,2.44,2.04,5.13,50.47,16.58,127630.0,18261.0,6603.0,3313.0,39.0,6642.0,6651.0,9222.0,22126.0,325294.0,150623.0,52658.0,45211.0,272636.0,2.65,127630.0,108615.0,6603.0,6642.0,-9.0,6651.0,0.15,44245.0,23711.0,50136.0,150623.0,325294.0,45211.0,7447.0,52658.0,272636.0,22120.0,9222.0,-52672.0,65520.0,22126.0,44245.0,150623.0,174671.0,325294.0,45211.0,7447.0,52658.0,272636.0,325294.0,0
2060,15.721442885771545,120226.2058,122789.0,0.98,4181.0,45.28,41.66,0.74,0.08125250501002,0.5,0.0203406813627254,0.01,460.99,0.59,957.11,20.41,0.28,13.23,205.28,1.32,12.91,6.66,0.9,-5.07,701.13,414.72,72.95,112.19,718.93,32.93,12.21,-9.89,87.79,180.69,17.54,0.9,0.94,0.77,11.91,0.81,3.89,3.81,87.74,2.86,22.32,22.32,6.3,0.77,6.49,-3.7,701.13,940026.0,111949.0,35789.0,-49.0,-1228.0,34561.0,26840.0,13527.0,46961.0,3491280.0,1723239.0,3064960.0,1839498.0,405693.0,6.21,940026.0,824734.0,35789.0,34561.0,7721.0,26840.0,0.21,322568.0,761773.0,58767.0,1723239.0,3491280.0,1839498.0,1225462.0,3064960.0,426321.0,256612.0,13527.0,-142771.0,175871.0,46961.0,303574.0,1723239.0,1768042.0,3491280.0,1839498.0,1225462.0,3064960.0,426321.0,3491280.0,0
688156,16.0,9237.376,3837.0,2.41,391.0,25.58,13.81,19.05,0.14,1.36,0.04,0.19,905.13,0.3,1260.5,43.42,0.21,6.22,301.64,0.9,21.11,4.71,-35.43,-2.62,37.84,41.36,9.57,37.4,38.19,7.66,72.36,0.15,27.64,-2656.7,132.62,3.45,3.55,2.76,33.49,2.94,22.35,17.39,65.89,13.72,34.16,34.16,3.82,2.76,10.9,6.99,37.84,22995.0,7701.0,3998.0,298.0,-20.0,3978.0,3156.0,4291.0,-5228.0,114220.0,80033.0,31566.0,22527.0,77193.0,3.0,22995.0,15152.0,3998.0,3978.0,822.0,3156.0,0.25,29875.0,26036.0,2265.0,80033.0,114220.0,22527.0,9038.0,31566.0,82655.0,34580.0,4291.0,-19466.0,9947.0,-5228.0,29352.0,80033.0,34187.0,114220.0,22527.0,9038.0,31566.0,82655.0,114220.0,0
530,29.0,84321.2507,77661.0,1.09,2485.0,31.95,12.23,-11.41,-0.1,-27.08,-0.05,-0.14,416.67,0.65,769.67,155.53,0.35,1.74,128.38,2.1,0.98,-9.66,-1.9538977955912005,16.68,89.28,84.3,4.39,80.6,94.05,2.37,51.53,0.18,48.47,290.8,17.35,0.89,1.3,0.18,12.17,0.19,0.82,0.66,87.07,0.53,1.29,1.29,0.36,0.18,10.25,527.5,89.28,204412.0,24867.0,1345.0,8409.0,308.0,1652.0,1089.0,-29490.0,-6633.0,591936.0,334788.0,286890.0,258360.0,299672.0,0.27,204412.0,177980.0,1345.0,1652.0,564.0,1089.0,0.01,43328.0,112228.0,103594.0,334788.0,591936.0,258360.0,28530.0,286890.0,305047.0,43897.0,-29490.0,22050.0,561.0,-6633.0,37264.0,334788.0,257148.0,591936.0,258360.0,28530.0,286890.0,305047.0,591936.0,0
603329,19.0,15875.6195,16769.0,0.95,500.0,36.6,17.95701402805609,20.25,0.1,0.51,0.04,0.03,97.45,2.77,221.09,19.18,1.22,14.08,18.31,14.74,0.2,12.07,34.13,48.14,49.14,94.18,17.41,77.78,57.27,13.41,63.58,0.6,36.42,2171.37,73.63,1.98,2.25,7.1,13.85,7.03,8.51,7.51,85.83,5.76,90.41,90.41,11.17,7.1,4.14,12.01,49.14,249319.0,34528.0,18734.0,1877.0,423.0,19157.0,14353.0,7302.0,-9644.0,202107.0,81076.0,73598.0,36054.0,112207.0,12.9,249319.0,214000.0,18734.0,19157.0,4804.0,14353.0,0.88,26548.0,20524.0,9845.0,81076.0,202107.0,36054.0,37544.0,73598.0,128508.0,34503.0,7302.0,-20414.0,2598.0,-9644.0,24859.0,81076.0,121030.0,202107.0,36054.0,37544.0,73598.0,128508.0,202107.0,0
