to_id,from_id
601233,603239
601233,603239
601233,603239
601233,600422
600605,10977
600605,159
600605,39
600605,9448
600605,2326
600605,870866
600605,15268
600605,300899
600985,600935
600985,2337
600985,600985
600985,600985
600985,600985
600985,600985
600985,600935
600985,600935
600985,600935
600985,600935
600985,2337
600985,2337
600985,600935
600985,600935
603557,600935
600125,13804
600125,13804
600125,13804
880,338
880,338
880,338
880,338
880,338
880,338
880,338
880,338
880,338
880,338
880,338
603399,300302
603399,600884
603367,2460
2719,2171
2719,2171
600098,1498
600098,1498
600098,523
603335,751
601878,15028
601878,429
601878,8631
601878,15028
601878,429
601878,8631
601878,9181
2009,300022
2009,300022
2009,300022
933,933
933,933
933,933
933,933
933,933
933,933
601500,39
601500,19
601500,39
601500,19
601500,630
601500,19
601500,19
530,19
530,630
530,39
530,39
530,630
530,630
530,630
530,630
530,630
530,39
600603,600256
600603,2802
600603,428
600603,2400
600603,2400
600603,731
600603,2802
600603,2802
600603,2400
600603,731
600603,731
300718,731
603511,5049
301113,837821
301113,837821
301113,837821
688339,600066
688339,300211
688339,9085
688339,9085
688339,9085
688339,9085
600462,300211
300540,731
300540,731
300540,731
300758,731
600969,789
601162,300302
601162,12191
601162,12191
601162,836892
601162,2009
601162,2009
529,600079
720,9568
300907,9568
300907,832278
300907,8754
300907,832278
300907,8754
300907,832278
2418,8754
600325,11834
600325,20
600325,20
600325,20
600325,20
600325,20
600325,20
600325,20
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
600968,2116
601718,2116
2692,6918
2692,630
600693,600959
601919,9460
601919,601099
601919,9159
601919,16378
601919,16378
601919,601099
601919,601099
601919,835670
601919,835670
601919,835670
601919,835670
601919,406
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,9558
601919,16378
601919,16378
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
601919,833171
2598,498
2598,498
2598,498
2598,498
2598,498
600505,6560
600370,600370
600370,420
600370,630
600370,630
600370,600037
600370,600037
600370,10781
600370,10781
600370,10781
600370,10781
600370,10781
600370,10781
600370,10781
600370,10781
600370,600403
600370,600403
600370,600370
600370,600370
600370,600370
600370,600370
600370,600370
600370,600370
600370,600370
600370,600370
600370,600370
600370,600370
600370,600370
600370,600370
600370,600370
600370,600370
600370,600370
600370,600370
600370,600370
601021,600370
603337,630
603337,2277
603337,630
603337,2277
603337,2277
603337,630
603337,630
603337,630
603337,630
603337,2277
603337,600118
603337,630
603337,630
300461,835305
601933,300302
601933,870357
601933,870357
601933,759
601933,6289
601933,430090
601933,300302
811,39
811,39
811,39
811,39
2302,12561
2302,17034
2302,17034
2302,301058
2302,301058
2302,300425
2302,300425
2302,600252
2302,519601
2302,300425
2302,300425
2302,300425
2302,15986
2302,12561
2302,600252
2302,17034
2302,17034
2302,17034
2302,301058
2302,300425
2302,300425
2302,300425
2302,600252
2302,519601
2302,17034
2302,17034
2302,301058
2302,300425
2302,300425
2302,300425
2302,600252
2302,519601
300459,601992
300459,601992
10,333
10,333
10,333
10,333
10,333
10,333
300207,333
2141,2369
2534,39
2534,39
2534,39
2534,39
300176,300052
300176,2543
300176,2543
300176,300052
300176,300052
300176,2543
300176,2543
300176,2543
300176,2543
300068,2543
300068,831039
300068,831039
422,630
422,630
422,422
600691,831010
600691,39
600691,39
600691,39
600691,39
600691,1896
600691,1896
600691,14250
600691,14250
600480,2324
600480,630
600480,630
600480,630
600480,630
600480,630
600480,630
600480,630
600480,630
600480,630
600480,630
600480,630
600480,630
600480,630
600480,630
600480,630
600683,603329
600683,603329
600683,603329
600683,603329
2383,13993
2383,13993
2383,13993
2383,13993
2383,13993
2383,13993
2383,13993
2383,13993
2383,13993
600109,601995
600109,12198
600109,12198
600109,12198
600109,12198
600109,12198
600109,836892
600109,836892
600109,836892
600075,8230
600075,12246
600075,8230
600075,8230
600075,8230
600075,8230
600075,8230
600075,8230
600075,8230
2612,8230
300797,630
300797,8370
300797,8370
300797,600206
300797,300034
300797,8370
300797,8370
300797,8370
300797,8370
300797,600206
300797,600206
2002,2002
2026,2026
2026,2026
2026,2026
2026,2026
2114,2114
2114,2114
2114,2114
2114,2114
2114,2114
2114,2114
2114,2114
2114,2114
2114,2114
2114,2114
2114,2114
2114,2114
2114,2114
2114,2114
2928,2114
2096,2096
2096,2096
603611,2096
603611,300838
603611,300838
973,835670
603890,831641
603890,871981
2365,2365
600578,711
2512,15317
415,11254
415,630
415,39
415,630
415,630
415,11254
415,11254
415,630
415,630
415,39
415,39
415,630
415,630
415,630
415,630
2136,7231
2136,8340
2136,8340
2136,8340
605488,7231
605488,8754
603843,2255
603843,2255
600619,1299
600619,12051
600619,12051
600619,12051
600373,630
600373,600362
600373,600362
600373,600362
3035,630
3035,4432
3035,4432
3035,4432
603093,601916
603093,19
603093,19
603093,19
603093,11834
603093,532
603093,2577
603093,19
603093,19
603093,19
603093,19
603093,19
603093,19
603093,19
603093,19
603093,19
603093,19
600886,19
600507,10779
600507,688159
600507,16117
600507,630
600507,630
600507,9595
600507,630
600507,501
600507,417
600507,630
600507,833427
600507,688159
600507,688159
600507,2748
600507,600462
600507,200055
600507,833427
600507,688159
600507,688159
600507,2748
600507,630
600507,630
600436,10834
600436,10834
600436,832735
600436,10834
600436,10834
600436,10834
600436,10405
600436,10405
600436,10405
600436,8590
600436,8590
600436,8590
600436,600315
600436,600315
600436,600315
600436,600315
901,430139
901,600501
901,425
901,802
901,12516
901,838275
901,603698
901,425
901,425
901,802
901,802
901,12516
901,37
901,838275
901,603698
901,425
901,425
901,802
901,802
901,12516
901,37
901,838275
605567,603697
605567,603697
600961,630
600961,630
600961,819
301032,338
301032,338
301032,603298
301032,603298
301032,338
301032,338
301032,338
301032,603298
301032,603298
2353,603298
2353,603041
2353,603041
2353,603041
2353,603041
688819,90
688819,14385
688819,14385
688819,603267
688819,603267
688819,430564
688819,430564
688819,832225
688819,832225
688819,832225
688819,2772
688819,2772
2634,90
600120,2454
600120,630
600120,2400
600120,2400
600120,2400
600120,2400
600120,600927
600702,630
600702,12065
600702,600196
600702,600196
600702,600196
598,600196
798,9550
798,65
798,360
798,399395
798,11017
798,11017
798,600195
798,600195
798,360
688101,360
688101,300181
688101,2681
688101,300181
600863,300181
600863,300181
987,39
987,11351
987,39
987,39
987,11351
987,11351
987,39
987,39
987,39
987,39
601311,833523
2444,603298
2444,603298
2444,603298
2444,603298
603677,937
603677,603088
603677,9460
603677,9460
603677,9460
603817,630
603817,630
600481,300302
600481,600959
600481,300302
600575,630
600575,552
600575,552
600575,552
600575,552
688517,300128
688517,430476
688517,430476
300700,536
2158,430139
2158,892
2158,430139
2158,430139
2158,892
2158,430139
2158,892
711,2186
869,630
869,630
869,630
869,630
869,39
869,39
869,39
600784,7231
600784,2789
600784,2789
600784,2789
2732,600259
2732,600259
2732,600259
300341,2288
2505,4499
2505,600490
2505,600490
2505,4499
2505,4499
600796,7221
600796,630
600796,630
600796,9937
600520,7221
2623,832876
2623,832876
2623,832876
2623,832876
2623,832876
2623,832876
300691,832876
2157,603697
2157,2124
2157,603697
2157,2124
2157,2124
2157,2157
2157,2157
2157,603697
2157,1318
2157,2157
2157,603697
601577,2124
890,560
890,835670
890,835670
890,835670
688169,300302
688169,300302
688169,300302
688169,430476
688169,430476
688169,300302
688169,300302
688169,300302
688169,300302
688169,300302
688169,300302
688169,430476
688169,430476
688169,430476
688169,430476
688169,300302
300551,300302
603218,630
603218,7272
603218,14110
603218,7272
603218,831278
603218,300207
600230,2542
600230,600468
600230,600468
600012,508009
600012,508009
600012,508009
600012,508009
682,682
682,682
682,682
682,682
682,682
682,682
682,682
682,682
682,682
600163,682
601568,548
601568,300472
601568,39
601568,39
601568,632
601568,548
601568,548
601568,14433
601568,300472
601568,2824
601568,300472
601568,2824
601568,7910
601568,2824
601568,300472
601568,7910
601568,2824
688737,6560
688737,731
688737,731
688737,6560
300736,301266
300736,8
300736,8
300736,301266
837,301266
837,837
2405,300690
2405,300690
2405,300690
2405,300690
2405,300690
2405,300690
2847,832662
2847,603696
2847,11293
2847,603696
2847,603696
600362,603697
600381,12283
600381,12283
600381,12283
600381,12283
600381,12283
605507,12283
605507,8158
605507,8158
600716,8158
603365,159
600729,159
600729,832662
600729,601963
600729,601963
600729,601963
600729,6430
600729,6876
600729,6876
600729,832662
601512,5821
601512,2966
601512,2966
601512,300483
601512,300483
601512,601567
930,930
930,930
930,930
930,930
930,930
930,930
2767,6846
2767,6846
2767,6846
2767,6846
2767,6846
2767,6846
688,300260
688107,2288
688107,600037
688107,600037
688107,600037
688107,600037
600277,560
600277,630
2586,2062
600456,2062
600456,600456
600456,600456
600456,600456
600456,600456
600456,600456
688639,600456
600366,600366
600366,600366
600366,600366
600366,300992
600366,300992
600366,600366
600366,600366
600366,600366
600366,600366
600366,600366
301318,2694
301318,836675
301318,836675
600121,2337
600121,7221
600121,2337
600121,2337
600121,2337
600121,2337
600121,2337
600121,7221
600121,601995
600121,2337
600121,2337
600399,2337
600399,2075
600611,630
600611,630
600611,630
600611,630
688301,605018
688301,430476
688301,605018
600679,300302
600679,9460
600679,9460
600679,600959
600679,600959
600679,600959
600679,600959
600679,600959
600679,600959
600679,600959
600679,600959
600679,600959
600679,600959
600679,600959
600679,600959
905,630
905,905
905,905
905,905
905,905
905,905
902,2441
902,2441
902,2441
600616,600127
600616,8545
2203,603697
2203,2203
2203,2203
2203,2203
2203,2203
2203,2203
2203,2203
2203,2203
2203,2203
2203,2203
2203,2203
2203,2203
2203,2203
2203,2203
600916,401
600916,600916
600916,600916
600916,600916
600916,600916
600916,600916
600916,600916
600916,600916
600916,600916
600916,600916
600916,600916
600916,600916
600916,600916
600916,401
600761,600206
600761,2337
600761,2337
600761,8340
600761,8340
600761,9370
600761,9370
600761,9370
49,300781
49,300781
49,300781
49,300781
49,300781
603739,300781
600343,871642
600343,600343
600343,600343
600343,300456
600694,7221
600694,501
600694,501
600694,501
600694,501
600694,501
600694,501
600694,501
600694,600694
600694,600694
600694,600694
600694,600694
600694,600694
600694,600694
600694,600694
600694,501
600694,501
600694,501
600694,501
600694,501
600694,501
600694,501
600694,600694
600694,600694
600694,600694
600694,600694
600694,600694
600694,600694
600694,600694
600694,715
600694,600694
600694,600694
600694,501
600694,501
600694,600694
600694,600694
600694,715
600694,501
600694,600694
600694,600694
600694,501
600694,501
600694,501
600694,501
600694,501
600694,600694
600694,501
600694,501
600694,501
600694,501
600694,501
600694,600694
2034,600694
2034,300207
2309,430476
2309,430476
2309,430476
2309,430476
2309,430476
2309,430476
2309,430476
603838,430476
603838,630
603838,630
300897,630
561,11966
2479,430139
2479,430139
751,12977
751,12977
600812,8833
601236,9550
601236,630
601236,630
601236,2736
601236,600015
601236,600015
601236,835670
601236,835670
601236,835670
601236,835670
601236,835670
601236,538
601236,9550
601236,9550
601236,8754
601236,630
601236,630
601236,630
601236,6305
601236,600015
601236,538
601236,538
601236,9550
601236,538
601236,9550
300511,9550
600844,9550
603978,630
603978,630
603978,819
300842,600746
2506,2015
2506,2015
2506,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
300040,2015
688526,2015
688526,816
688526,816
688526,816
688526,6289
688526,816
688526,6289
688526,816
300210,816
300210,816
2485,19
2485,39
2485,39
2485,39
2485,39
2485,39
300597,836077
300597,836077
300597,836077
300597,836077
300597,836077
300597,836077
600352,600352
600352,600352
600352,600352
600352,600328
967,157
967,967
967,157
967,157
967,157
967,157
967,157
967,157
2600,157
2600,13369
2600,13369
2600,13369
600398,13369
600398,2311
600398,2311
600398,600398
600398,9159
600215,15426
600157,1679
600157,7933
600753,530030
603900,9356
603501,1283
603501,1283
600719,630
600409,834475
600409,834475
600409,834475
600409,834475
600409,834475
600409,834475
600409,834475
600282,601969
600282,601969
600282,600959
600282,600959
600282,600959
600282,9159
600282,9159
600282,9159
600282,9159
600282,9159
600282,2337
600282,544
600282,899050
600282,39
600282,9159
600282,9159
600282,9159
600282,9159
600282,9159
600282,544
600282,899050
600282,39
600282,9159
600282,9159
600282,9159
600282,9159
600282,544
2330,548
2330,548
605287,548
605287,300879
605287,39
21,2094
21,2649
21,2649
21,21
21,21
2169,21
688027,430476
688027,2230
795,630
795,630
795,102
795,102
795,2056
795,2056
795,2056
795,831010
600999,605
600999,605
600999,605
600999,605
600999,399975
600999,399975
600999,399975
600999,430139
600999,430139
600999,430139
600999,600036
