code,Rgst_years,Corp_Rgst_Cap,Shareholders_Num,Per_Capita_Shareholding,Employees_Num,Bachelor_Person_Pro,Technicians_Person_Pro,Cash_Flow_Ratio,Net_Cash_Flow_to_Liability_Ratio,Net_Cash_Flow_to_Net_Profit_Ratio,Operating_Cash_Return_Flow,Net_Cash_Flow_to_Sales_Revenue_Ratio,Current_Assets_Turnover_Days,Current_Assets_Turnover_Rate,Total_Asset_Turnover_Days,Inventory_Turnover_Days,Total_Asset_Turnover_Rate,Inventory_Turnover_Rate,Accounts_Receivable_Turnover_Days,Accounts_Receivable_Turnover_Rate,Total_Asset_Growth_Rate,Net_Asset_Growth_Rate,Net_Profit_Growth_Rate,Main_Business_Revenue_Growth_Rate,Equity_ratio,Capital_fixed_ratio,Capitalization_ratio,Long_term_assets_to_long_term_funding_ratio,Liabilities_to_owner_equity_ratio,Long_term_debt_ratio,Shareholders_equity_ratio,Long_term_debt_to_working_capital_ratio,Gearing_ratio,Interest_payment_multiple,Cash_ratio,Quick_ratio,Liquidity_ratio,Total_asset_margin,Profit_margin_of_main_business,Total_net_asset_margin,Cost_and_expense_margins,Operating_margin,Cost_ratio_of_main_business,Net_profit_margin_on_sales,Return_on_equity,Return_on_equity.1,Return_on_net_assets,Return_on_assets,Three_cost_ratios,Non_main_proportion,Proportion_of_main_profit,Main_business_income,Main_business_profit,Operating_profit,Investment_income,Net_non_operating_income_and_expenditure,Total_profit,Net_profit,Net_cash_flow_from_operating_activities,Net_increase_in_cash_and_cash_equivalents,Total_assets,liquid_asset,Total_liabilities,Current_liabilities,Shareholders_equity_does_not_include_minority_interests,Return_on_equity_weighting,Operating_income,Operating_costs,Operating_profit.1,Total_profit.1,Income_tax_expense,Net_profit.1,Basic_earnings_per_share,Monetary_funds,Accounts_receivable,Stocks,Total_current_assets,Total_assets.1,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities.1,Total_owners_equity,Opening_cash_and_cash_equivalents_balances,Net_cash_flow_from_operating_activities.1,Net_cash_flows_from_investing_activities,Net_cash_flows_from_fund_raising_activities,Net_increase_in_cash_and_cash_equivalents.1,Closing_cash_and_cash_equivalents_balances,Total_current_assets.1,Total_non_current_assets,Total_assets.2,Total_current_liabilities.1,Total_non_current_liabilities.1,Total_liabilities.2,Total_owners_equity.1,Total_liabilities_and_owners_equity,y
600995,25.0,319600.5805,45177.0,1.06,2309.0,29.88,27.72,79.34,0.18,2.36,0.11,0.62,106.99,2.52,850.93,8.26,0.32,32.67,13.67,19.75,1117.0,555.07,990.96,316.15,120.51,218.88,46.59,116.91,148.89,35.05,40.18,-26.64,59.82,530.58,67.94,0.86,0.9,4.5,46.64,8.28,49.43,33.2,51.75,26.09,65.0,65.0,11.19,4.5,13.52,-0.01,120.51,639163.0,298092.0,212203.0,873.0,-897.0,211306.0,166750.0,393518.0,55639.0,3708506.0,447196.0,2218482.0,495976.0,1160782.0,9.24,639163.0,330767.0,212203.0,211306.0,44557.0,166750.0,0.51,336961.0,36613.0,18534.0,447196.0,3708506.0,495976.0,1722506.0,2218482.0,1490025.0,279843.0,393518.0,-256983.0,-81140.0,55639.0,335483.0,447196.0,3261310.0,3708506.0,495976.0,1722506.0,2218482.0,1490025.0,3708506.0,0
300034,20.0,48595.7096,16330.0,2.98,1565.0,34.89,16.1,-2.71,-0.02,-0.24,-0.01,-0.03,522.65,0.52,789.7,196.08,0.34,1.38,121.48,2.22,27.8,8.93,-13.63,33.2,77.07,58.46,11.72,51.61,85.25,7.17,53.98,0.21,46.02,1613.72,29.1,1.44,1.99,3.92,26.72,4.26,17.94,14.69,72.52,12.45,48.63,48.63,7.26,3.92,8.75,-4.11,77.07,189815.0,50710.0,27881.0,-1195.0,48.0,27929.0,23630.0,-5630.0,4774.0,602783.0,412561.0,277396.0,207566.0,302094.0,7.36,189815.0,137647.0,27881.0,27929.0,4299.0,23630.0,0.45,60408.0,123071.0,114124.0,412561.0,602783.0,207566.0,69830.0,277396.0,325387.0,54213.0,-5630.0,-16876.0,27263.0,4774.0,58987.0,412561.0,190222.0,602783.0,207566.0,69830.0,277396.0,325387.0,602783.0,0
603331,22.0,17816.9639,7658.0,2.33,2315.0,5.27,11.23,21.44,0.15,2.49,0.08,0.16,255.22,1.06,576.06,117.27,0.47,2.3,89.45,3.02,2.43,4.74,-10.92,13.0,74.22,118.54,9.3883466933868,56.19058116232465,109.65,5.2352104208416845,47.7,-0.0385270541082162,52.3,437.12,21.0,0.77,1.23,3.05,19.97,3.04,8.78,7.53,79.35,6.49,35.66,35.66,6.39,3.05,8.38,0.89,74.22,97859.0,19542.0,7366.0,-166.0,233.0,7599.0,6354.0,15822.0,3432.0,208461.0,90594.0,109030.0,73795.0,91911.0,7.01,97859.0,77651.0,7366.0,7599.0,1245.0,6354.0,0.36,15495.0,32752.0,33707.0,90594.0,208461.0,73795.0,35235.0,109030.0,99431.0,8945.0,15822.0,-9902.0,-2488.0,3432.0,12376.0,90594.0,117867.0,208461.0,73795.0,35235.0,109030.0,99431.0,208461.0,0
2369,18.0,56695.628,64263.0,0.9,8571.0,7.09,15.46,17.19,0.08,0.230961923847695,0.05,0.1,175.26,1.54,549.45,23.97,0.49,11.26,85.96,3.14,-13.36,-13.66,-1.9538977955912005,-29.29,69.62,157.99,3.18,152.96,134.48,1.4,42.65,0.32,57.35,-95.98,43.24,1.02,1.15,-1.32,0.85,-1.29,-3.7,-4.12,98.16,-2.63,-6.37,-6.37,-3.1,-1.32,9.93,-100.92,69.62,139864.0,1188.0,-5767.0,5563.0,128.0,-5639.0,-3673.0,13524.0,9170.0,278072.0,90710.0,159482.0,78658.0,118591.0,-3.05,139864.0,137291.0,-5767.0,-5639.0,-1966.0,-3673.0,-0.06,34014.0,42042.0,10801.0,90710.0,278072.0,78658.0,80824.0,159482.0,118591.0,21707.0,13524.0,7556.0,-11977.0,9170.0,30878.0,90710.0,187362.0,278072.0,78658.0,80824.0,159482.0,118591.0,278072.0,0
600853,15.721442885771545,101490.2546,55907.0,1.82,5926.0,59.8,48.84,-16.7,-0.1,-14.58,-0.09,-0.24,390.4,0.69,676.52,43.72,0.4,6.18,97.68,2.76,24.73,-0.05,0.34,2.67,600.73,319.59,68.03,102.19,627.4,29.25,13.75,10.73,86.25,168.93,25.59,0.96,1.05,0.61,10.68,0.65,2.05,1.94,89.01,1.63,18.25,18.25,4.45,0.61,5.56,0.72,600.73,1136071.0,121348.0,22059.0,168.0,-9.0,22050.0,18522.0,-270025.0,-159410.0,3030772.0,1699178.0,2614113.0,1616555.0,248997.0,6.77,1136071.0,1011215.0,22059.0,22050.0,3528.0,18522.0,0.16,390362.0,417671.0,149160.0,1699178.0,3030772.0,1616555.0,997557.0,2614113.0,416660.0,489137.0,-270025.0,-80653.0,191268.0,-159410.0,329727.0,1699178.0,1331595.0,3030772.0,1616555.0,997557.0,2614113.0,416660.0,3030772.0,0
600343,23.0,63820.6348,80789.0,0.79,2068.0,28.34,26.11,-7.85,-0.07,0.230961923847695,-0.03,-0.13,790.86,0.34,1143.58,311.49,0.24,0.87,214.66,1.26,-1.3,-5.1,-1.9538977955912005,12.28,65.38,50.24,9.3883466933868,56.19058116232465,69.26,5.2352104208416845,59.08,-0.0385270541082162,40.92,-97.07,43.8,1.2,1.82,-0.28,14.19,-0.28,-0.98,-0.94,84.76,-1.2,-1.65,-1.65,-0.47,-0.28,14.47,4.04,65.38,88229.0,12518.0,-833.0,36608.162324649296,-35.0,-868.0,-1055.0,-11544.0,948.0,380653.0,267672.0,155755.0,147030.0,187107.0,-0.91,88229.0,74779.0,-833.0,-868.0,186.0,-1055.0,-0.03,64403.0,72702.0,91256.0,267672.0,380653.0,147030.0,8725.0,155755.0,224897.0,62322.0,-11544.0,5805.0,6687.0,948.0,63270.0,267672.0,112980.0,380653.0,147030.0,8725.0,155755.0,224897.0,380653.0,0
603335,21.0,42814.46,30462.0,1.41,797.0,10.66,17.57,-18.38,-0.15,-6.83,-0.08,-0.11,181.89,1.48,312.14,111.0,0.87,2.43,18.4,14.68,24.59,-12.35,-66.69,41.95,115.64,92.35,10.66,82.51,131.34,5.16,43.23,0.34,56.77,383.61,17.64,0.68,1.34,1.21,15.64,1.33,2.34,2.46,84.31,1.54,4.66,4.66,2.79,1.21,10.76,-39.6,115.64,129512.0,20250.0,3189.0,-842.0,-301.0,2887.0,1995.0,-13629.0,-4508.0,165373.0,99358.0,93890.0,74134.0,55602.0,0.65,129512.0,109191.0,3189.0,2887.0,893.0,1995.0,0.01,12986.0,10327.0,48982.0,99358.0,165373.0,74134.0,19755.0,93890.0,71483.0,17494.0,-13629.0,-12347.0,21379.0,-4508.0,12986.0,99358.0,66016.0,165373.0,74134.0,19755.0,93890.0,71483.0,165373.0,0
300477,25.0,107201.8687,60874.0,1.76,1785.0,23.92,20.39,0.23,0.08125250501002,0.04,0.0203406813627254,0.0580460921843687,394.85,0.68,705.14,116.48,0.38,2.32,137.59,1.96,20.85,29.18,106.27,25.88,98.93,87.88,13.74,75.8,101.7,7.9,49.58,0.52,50.42,513.79,43.99,1.09,1.37,2.46,26.64,2.66,10.48,9.12,72.77,6.94,13.78,13.78,4.95,2.46,13.02,-29.01,98.93,212901.0,56707.0,19425.0,-5435.0,-154.0,19271.0,14768.0,579.0,43547.0,601556.0,339478.0,303317.0,247549.0,257635.0,4.42,212901.0,154936.0,19425.0,19271.0,4503.0,14768.0,0.1,108899.0,105854.0,69694.0,339478.0,601556.0,247549.0,55768.0,303317.0,298239.0,46730.0,579.0,-41490.0,84408.0,43547.0,90277.0,339478.0,262078.0,601556.0,247549.0,55768.0,303317.0,298239.0,601556.0,0
301138,20.0,12000.0,16055.0,0.75,675.0,12.59,11.41,-10.38,-0.1,-0.53,-0.02,-0.09,958.47,0.28,1071.0,352.53,0.25,0.77,70.05,3.85,84.46,168.29,-17.16,-5.85,27.97,15.47,9.3883466933868,56.19058116232465,30.01,5.2352104208416845,76.92,-0.0385270541082162,23.08,-871.35,249.6,3.04,4.1,4.18,37.75,4.18,25.99,20.08,61.47,16.57,49.77,49.77,5.44,4.18,15.01,7.88,27.97,36046.0,13608.0,7238.0,571.0,-1.0,7238.0,5972.0,-3189.0,-14479.0,142782.0,125791.0,32956.0,30716.0,108663.0,5.16,36046.0,22157.0,7238.0,7238.0,1265.0,5972.0,0.48,76668.0,9764.0,32355.0,125791.0,142782.0,30716.0,2240.0,32956.0,109826.0,88976.0,-3189.0,-3674.0,-7985.0,-14479.0,74497.0,125791.0,16991.0,142782.0,30716.0,2240.0,32956.0,109826.0,142782.0,0
871642,15.721442885771545,223671.27404879767,62520.625250501005,3.5829859719438897,7908.225450901804,29.593186372745528,17.95701402805609,11.586182364729444,0.08125250501002,0.230961923847695,0.0203406813627254,0.0580460921843687,2031.81881763527,1.1027555110220435,1146.032014028056,594.7469438877763,0.4383366733466931,14.685521042084188,400.7832565130258,70.13774549098191,13.721643286573164,14.095711422845708,-1.9538977955912005,9.490280561122235,100.4278256513026,116.58600200400792,9.3883466933868,56.19058116232465,139.78413827655314,5.2352104208416845,48.9543887775551,-0.0385270541082162,45.03359719438875,2020.899228456915,76.96322645290579,1.6853006012024072,2.1168837675350693,2.3822344689378734,16.67510020040082,2.569458917835669,13.878817635270536,-16.678326653306637,71.90976953907814,-17.965040080160335,40.8807114228457,40.8807114228457,3.0487274549098173,2.3822344689378734,33.764519038076145,22.503106212424832,100.4278256513026,1706238.4018036071,285439.8496993988,178187.37174348696,36608.162324649296,-1085.2114228456917,177102.15230460922,145330.43286573148,183691.03306613225,-30509.44789579158,10179602.392785572,1529407.2054108216,8266576.316633266,1223401.7234468935,1702957.2254509018,3.8155110220440864,1500888.8727454909,1243527.738476954,178187.37174348696,177102.15230460922,31771.69539078156,145330.43286573148,0.3878256513026057,951805.0420841684,225556.80260521045,486540.44388777553,1529407.2054108216,10179602.392785572,1223401.7234468935,532675.6533066132,8266576.316633266,1913026.0861723449,799123.5851703407,183691.03306613225,-165845.9368737475,-65393.79358717435,-30509.44789579158,768614.1573146293,1529407.2054108216,1442161.3056112223,10179602.392785572,1223401.7234468935,532675.6533066132,8266576.316633266,1913026.0861723449,10179602.392785572,1
